,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
158,Lil Bit,Lil Bit,Nelly,2020-10-23,195962,72,0.707,0.0255,0.707,0.689,0.0,0.383,-7.097,0.0387,119.987,4
159,Agua de Jamaica,#7DJ (7 Días En Jamaica),Maluma,2021-01-28,176970,67,0.664,0.123,0.664,0.665,0.0,0.411,-3.616,0.0879,173.961,4
160,Hecha Pa' Mi,Más Negro Que Rojo,Boza,2020-07-31,186133,77,0.725,0.362,0.725,0.756,0.000685,0.103,-5.013,0.0572,100.07,4
161,SO DONE,SO DONE,The Kid LAROI,2020-10-23,126521,68,0.719,0.232,0.719,0.598,0.0,0.115,-6.254,0.077,142.592,4
162,Rather Be You,Heaven in a World so Cold,Tom Gregory,2020-09-18,172617,52,0.748,0.177,0.748,0.71,0.0,0.171,-4.469,0.0366,89.003,4
163,Copines,NAKAMURA,Aya Nakamura,2018-11-02,171720,72,0.701,0.27,0.701,0.787,0.0,0.105,-3.941,0.0855,180.027,4
164,Ménage,Ménage,MC JottaPê,2020-11-20,134400,39,0.814,0.215,0.814,0.681,0.0,0.0765,-4.547,0.123,99.985,4
165,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",34+35 (Remix),Ariana Grande,2021-01-15,182437,70,0.88,0.205,0.88,0.662,0.0,0.227,-5.766,0.304,109.988,4
166,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior","Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,2020-11-06,192745,73,0.721,0.151,0.721,0.745,1.24e-06,0.372,-3.508,0.0366,90.988,4
167,Wait a Minute!,ARDIPITHECUS,WILLOW,2015-01-11,196520,87,0.764,0.0371,0.764,0.705,1.94e-05,0.0943,-5.279,0.0278,101.003,4
168,Amor ou o Litrão - Brega Funk,Amor ou o Litrão (Brega Funk),Mila,2020-12-04,170000,46,0.783,0.382,0.783,0.902,0.0,0.0556,-3.063,0.0351,144.116,4
169,Camisa do Flamengo,Camisa do Flamengo,MC Meno K,2020-12-29,148800,0,0.688,0.522,0.688,0.559,0.0,0.104,-10.06,0.699,99.563,3
170,Vai Tomando Foguenta,Vai Tomando Foguenta,MC Yuri,2020-12-02,156969,47,0.869,0.138,0.869,0.89,0.144,0.0475,1.221,0.229,130.192,4
171,Maçã Verde,Avisa que é o Funk,MC Hariel,2020-10-09,164307,68,0.582,0.0428,0.582,0.531,7.39e-06,0.1,-3.725,0.0905,85.322,5
172,Arcade (feat. FLETCHER),Small Town Boy,Duncan Laurence,2020-11-27,187453,71,0.446,0.815,0.446,0.395,0.00216,0.128,-9.328,0.0365,71.944,3
173,One Whole Day (feat. Wiz Khalifa),One Whole Day (feat. Wiz Khalifa),Dixie,2020-12-04,176854,58,0.64,0.038,0.64,0.863,0.0,0.294,-4.002,0.0322,81.003,4
174,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,2021-01-06,132780,81,0.778,0.175,0.778,0.695,0.0,0.15,-6.865,0.0913,149.996,4
175,Save Your Tears,After Hours,The Weeknd,2020-03-20,215626,88,0.68,0.0212,0.68,0.826,1.24e-05,0.543,-5.487,0.0309,118.051,4
176,"Apaga Luz, Apaga Tudo - Challenge","Apaga Luz, Apaga Tudo - Challenge",DJ TN Beat,2020-12-17,121846,0,0.722,0.0215,0.722,0.986,0.000228,0.0621,1.317,0.227,130.13,4
177,Alive (It Feels Like),Alive (It Feels Like),Alok,2020-10-16,142500,66,0.66,0.0171,0.66,0.855,8.25e-05,0.374,-4.559,0.0317,126.035,4
178,Beat Eu Era (Funk Remix),Beat Eu Era (Funk Remix),Sr. Nescau,2020-12-16,130681,54,0.863,0.211,0.863,0.903,0.0,0.0956,-2.126,0.148,129.867,4
179,Tokyo Drifting,Dreamland (+ Bonus Levels),Glass Animals,2020-08-06,216821,56,0.715,0.12,0.715,0.438,0.000139,0.107,-9.874,0.0575,128.905,4
180,Jenny (I Wanna Ruin Our Friendship),Jenny (I Wanna Ruin Our Friendship),Studio Killers,2020-12-04,215280,76,0.668,0.00305,0.668,0.798,0.0144,0.277,-5.701,0.0334,133.928,4
181,oops!,Gasanova,Yung Gravy,2020-10-02,139759,69,0.886,0.0358,0.886,0.743,0.000198,0.0511,-6.797,0.0812,131.902,4
182,It's Tricky,Raising Hell,Run–D.M.C.,1986-05-15,183760,70,0.965,0.00131,0.965,0.857,0.0,0.0726,-8.458,0.17,127.656,4
183,SexyBack (feat. Timbaland),FutureSex/LoveSounds,Justin Timberlake,2006-09-12,242733,78,0.967,0.0584,0.967,0.583,0.0,0.0519,-5.562,0.0789,117.0,4
184,I Am (feat. Flo Milli),After The Rain,Baby Tate,2020-12-04,182464,64,0.932,0.105,0.932,0.835,0.0,0.0847,-3.905,0.156,144.02,4
185,PLASTIC,PLASTIC,Unghetto Mathieu,2020-05-29,181015,55,0.626,0.023,0.626,0.734,0.0,0.285,-3.96,0.331,130.427,4
186,dirty laundry,deadroses,blackbear,2015-02-14,165600,67,0.766,0.051,0.766,0.64,0.0,0.237,-8.899,0.0345,100.044,4
187,Va Va Vroom Vroom - Remix,Va Va Vroom Vroom (Remix),Eduardo Luzquiños,2021-01-08,97206,50,0.868,0.234,0.868,0.329,0.016,0.336,-8.566,0.214,103.02,4
188,Dangerous,Not 4 Sale,Kardinal Offishall,2008-01-01,246053,76,0.949,0.00437,0.949,0.79,0.0,0.0816,-5.957,0.0756,117.002,4
189,I'm not Pretty,I'm not Pretty,JESSIA,2021-01-08,118400,1,0.783,0.0802,0.783,0.526,0.0,0.066,-6.478,0.261,75.002,4
190,Maior Que Nós,Meio,Hotelo,2021-01-14,172119,22,0.628,0.641,0.628,0.601,1.09e-06,0.144,-8.885,0.04,98.047,4
191,Deixa de Onda (Porra Nenhuma),Deixa de Onda (Porra Nenhuma),DENNIS,2021-01-21,184999,67,0.815,0.29,0.815,0.69,0.0,0.312,-4.622,0.0469,135.036,4
192,MUSA DO INVERNO,MUSA DO INVERNO,Lagum,2021-01-28,151904,55,0.859,0.152,0.859,0.654,2.87e-06,0.132,-7.503,0.0434,134.94,4
193,Mega Rave Sem Chão,Mega Rave Sem Chão,Dj GBR,2020-10-15,184888,53,0.822,0.311,0.822,0.731,7.81e-06,0.0996,-3.764,0.158,135.047,4
194,Remember That Night?,Remember That Night?,Sara Kays,2020-11-06,227186,77,0.679,0.585,0.679,0.61,9.51e-05,0.156,-10.936,0.0305,123.978,4
195,You (with Marshmello & Vance Joy),You (with Marshmello & Vance Joy),benny blanco,2021-01-29,169632,70,0.668,0.0493,0.668,0.563,0.0,0.119,-6.433,0.0522,103.116,4
196,Heat Waves,Dreamland,Glass Animals,2020-08-07,238805,87,0.761,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,4
197,Never Not,I met you when I was 18. (the playlist),Lauv,2018-05-31,208000,73,0.47,0.693,0.47,0.221,0.0,0.104,-9.243,0.0371,133.714,4
198,Pipa Voada (feat. Emicida),Tão Real,Rashid,2020-01-22,185333,62,0.758,0.489,0.758,0.732,0.0,0.13,-5.511,0.051,90.038,4
199,"Dó, Ré, Mi, Fá","Dó, Ré, Mi, Fá",Dj Henrique de Ferraz,2020-12-18,203076,44,0.965,0.356,0.965,0.736,0.0,0.149,-0.666,0.2,129.961,4
200,Wonder,Wonder,Shawn Mendes,2020-10-02,172692,73,0.333,0.131,0.333,0.637,1.8e-05,0.149,-4.904,0.0581,139.898,4
201,For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,190476,81,0.823,0.114,0.823,0.586,0.0,0.193,-6.606,0.2,125.971,4
202,DÁKITI,DÁKITI,Bad Bunny,2020-10-30,205090,82,0.731,0.401,0.731,0.573,5.22e-05,0.113,-10.059,0.0544,109.928,4
203,Goosebumps,Goosebumps,HVME,2020-06-12,163208,77,0.767,0.325,0.767,0.659,0.0,0.13,-7.429,0.0444,124.946,4
204,willow,evermore,Taylor Swift,2020-12-11,214706,77,0.392,0.833,0.392,0.574,0.00179,0.145,-9.195,0.17,81.112,4
205,WITHOUT YOU,F*CK LOVE (SAVAGE),The Kid LAROI,2020-11-06,161384,81,0.662,0.213,0.662,0.413,0.0,0.134,-7.357,0.0299,93.005,4
206,positions,positions,Ariana Grande,2020-10-23,172324,12,0.736,0.468,0.736,0.802,0.0,0.094,-4.759,0.0864,144.005,4
207,Therefore I Am,Therefore I Am,Billie Eilish,2020-11-12,174321,76,0.889,0.218,0.889,0.34,0.13,0.055,-7.773,0.0697,94.009,4
208,Rave Banjo Beat,Rave Banjo Beat,DJ TOPO,2020-10-16,184615,38,0.836,0.39,0.836,0.801,6.63e-05,0.0643,-4.355,0.291,129.957,4
209,Senta no Fazendeiro,Senta no Fazendeiro,Mc Jacaré,2019-07-01,146233,47,0.727,0.569,0.727,0.601,0.0,0.0566,-5.037,0.052,130.057,4
210,O Golpe tá aí Cai Quem Quer,O Golpe tá aí Cai Quem Quer,Dj Guuga,2020-11-12,188666,46,0.794,0.23,0.794,0.883,0.0,0.333,-1.496,0.387,90.04,4
211,O Pai Tá On,O Pai Tá On,DDNAVOZ,2020-08-14,102353,13,0.921,0.563,0.921,0.72,0.0,0.0672,-5.121,0.149,129.98,4
212,Watermelon Sugar,Fine Line,Harry Styles,2019-12-13,174000,89,0.548,0.122,0.548,0.816,0.0,0.335,-4.209,0.0465,95.39,4
213,The Business,The Business,Tiësto,2020-09-16,164000,84,0.798,0.414,0.798,0.62,0.0192,0.112,-7.079,0.232,120.031,4
214,Prisoner (feat. Dua Lipa),Prisoner (feat. Dua Lipa),Miley Cyrus,2020-11-20,169333,68,0.781,0.0103,0.781,0.67,0.0,0.0761,-3.912,0.0452,127.99,4
215,Mood (feat. iann dior),Mood (feat. iann dior),24kGoldn,2020-07-24,140525,14,0.7,0.221,0.7,0.722,0.0,0.272,-3.558,0.0369,90.989,4
216,Lemonade,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,2020-08-14,195428,78,0.799,0.256,0.799,0.66,0.0,0.111,-6.153,0.079,140.04,4
217,Oh My God,Oh My God,Edy Lemond,2020-10-13,199440,51,0.74,0.296,0.74,0.884,0.0,0.091,-2.683,0.242,130.035,4
218,Paradise (feat. Dermot Kennedy),Paradise,MEDUZA,2020-10-30,167903,80,0.632,0.0689,0.632,0.595,0.0,0.209,-7.644,0.0401,124.114,4
219,Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber,2020-10-16,149297,76,0.631,0.864,0.631,0.239,0.0,0.116,-7.071,0.0398,79.859,4
220,34+35,Positions,Ariana Grande,2020-10-30,173710,82,0.83,0.237,0.83,0.585,0.0,0.248,-6.476,0.094,109.978,4
221,What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,160000,82,0.709,0.65,0.709,0.548,1.59e-06,0.133,-8.493,0.353,83.995,4
222,Put Your Records On,Put Your Records On,Ritt Momney,2020-04-24,210463,78,0.399,0.0563,0.399,0.491,0.00089,0.11,-10.778,0.0538,91.066,4
223,Monster (Shawn Mendes & Justin Bieber),Monster,Shawn Mendes,2020-11-20,178994,74,0.652,0.0676,0.652,0.383,0.0,0.0828,-7.076,0.0516,145.765,4
224,WHATS POPPIN,Sweet Action,Jack Harlow,2020-03-13,139741,80,0.923,0.017,0.923,0.604,0.0,0.272,-6.671,0.245,145.062,4
225,iSpy (feat. Lil Yachty),Light of Mine,KYLE,2018-05-18,252240,67,0.723,0.384,0.723,0.654,0.0,0.384,-6.82,0.298,149.949,4
226,These Days,This Isn't The Album,mike.,2015-10-30,268565,73,0.815,0.533,0.815,0.364,3.52e-05,0.108,-11.158,0.375,129.937,4
227,Come Get Her,SremmLife,Rae Sremmurd,2015-01-06,212946,75,0.689,0.187,0.689,0.564,0.0,0.0721,-6.226,0.136,185.023,4
228,Reckless,Subluxe,Healy,2017,237157,62,0.849,0.526,0.849,0.362,1.63e-05,0.233,-8.585,0.41,81.143,4
229,After Party,Heaven Or Hell,Don Toliver,2020-03-13,167915,78,0.629,0.00981,0.629,0.692,0.331,0.603,-8.045,0.0376,162.948,4
230,This Could Be Us,SremmLife,Rae Sremmurd,2015-01-06,206306,80,0.732,0.291,0.732,0.69,0.0,0.116,-4.992,0.134,143.072,4
231,"Lemonade (feat. Gunna, Don Toliver & NAV)",B4 The Storm,Internet Money,2020-08-28,195428,78,0.8,0.25,0.8,0.658,0.0,0.111,-6.142,0.079,140.042,4
232,Ain't Nobody Takin My Baby,Ain't Nobody Takin My Baby,Russ,2016-12-23,189231,66,0.696,0.673,0.696,0.57,3.02e-06,0.098,-9.084,0.557,76.976,4
233,Chanel,Chanel,Frank Ocean,2017-03-10,210285,79,0.776,0.874,0.776,0.503,0.0,0.112,-5.732,0.237,110.134,4
234,FML,Living Facts,Arizona Zervas,2018-06-03,223000,71,0.822,0.113,0.822,0.575,0.0,0.106,-5.95,0.0934,100.087,4
235,Me You,There's Really A Wolf,Russ,2017-05-05,164200,61,0.702,0.00196,0.702,0.762,0.000451,0.142,-2.733,0.0328,95.019,4
236,High Fashion (feat. Mustard),Please Excuse Me for Being Antisocial,Roddy Ricch,2019-12-06,220486,74,0.831,0.269,0.831,0.499,0.0,0.3,-8.442,0.114,97.956,4
237,Swish,These Days,mike.,2016-01-12,278520,57,0.905,0.067,0.905,0.575,2.22e-05,0.0602,-8.64,0.0881,115.031,4
238,Desperado,ANTI (Deluxe),Rihanna,2016-01-28,186466,73,0.685,0.323,0.685,0.61,0.0,0.102,-5.221,0.0439,94.384,3
239,Feeling Good,It's Time,Michael Bublé,2005-02-08,237333,73,0.535,0.533,0.535,0.548,1.48e-06,0.123,-6.51,0.037,115.144,3
240,Se Acabó la Cuarentena,Viva el Perreo,Jowell & Randy,2020-08-06,166971,64,0.886,0.00127,0.886,0.605,0.0167,0.0767,-4.311,0.109,122.052,4
241,MEGA DA CAVALGADA VS YOU WANT,MEGA DA CAVALGADA VS YOU WANT,DJ ZL,2020-05-25,134545,50,0.845,0.0681,0.845,0.694,0.0,0.126,-4.552,0.161,131.986,4
242,Feel It,Dark Room,Michele Morrone,2020-02-14,159480,36,0.652,0.142,0.652,0.369,0.00322,0.128,-9.301,0.045,155.016,3
243,HOLIDAY,HOLIDAY,Lil Nas X,2020-11-13,154997,76,0.81,0.12,0.81,0.511,0.0,0.0832,-6.924,0.164,151.947,4
244,Meu Lado da História,Meu Lado da História,Nandx710,2019-03-27,151896,54,0.678,0.778,0.678,0.141,0.0,0.0787,-16.789,0.237,113.69,4
245,É Só Botada,É Só Botada,MC Levin,2020-08-26,145846,55,0.953,0.0466,0.953,0.544,0.0179,0.0395,-5.411,0.0843,129.988,4
246,Blow Your Mind (Mwah),Blow Your Mind (Mwah),Dua Lipa,2016-08-26,178583,68,0.654,0.0188,0.654,0.796,0.0,0.0948,-4.761,0.122,108.854,4
247,What They Want,There's Really A Wolf,Russ,2017-05-05,165853,73,0.71,0.484,0.71,0.404,0.0,0.0953,-10.04,0.379,139.553,4
248,Someone To You,Someone To You,BANNERS,2020-05-14,219813,60,0.518,0.00554,0.518,0.936,0.0,0.258,-3.685,0.0447,75.002,4
249,Promiscuous,Loose,Nelly Furtado,2006-01-01,242293,82,0.808,0.0569,0.808,0.97,6.13e-05,0.154,-6.098,0.0506,114.328,4
250,Já Te Amei (170 Bpm) - Remix,Já Te Amei (170 Bpm) [Remix],MC Senna,2020-01-31,133028,43,0.854,0.214,0.854,0.93,0.0,0.336,-2.022,0.245,87.554,4
251,SEM LIMITES,SEM LIMITES,WC no Beat,2020-05-14,171370,45,0.721,0.416,0.721,0.599,0.0,0.14,-5.41,0.299,141.946,4
252,Hipnotizou,Melim,Melim,2018-06-08,158624,59,0.557,0.569,0.557,0.632,0.0,0.386,-7.357,0.0772,78.436,4
253,This Is America,This Is America,Childish Gambino,2018-05-06,225773,70,0.854,0.117,0.854,0.463,0.0,0.354,-6.159,0.137,120.024,4
254,IDK You Yet,IDK You Yet,Alexander 23,2020-04-09,184638,1,0.629,0.884,0.629,0.306,0.0776,0.124,-11.735,0.0424,76.994,1
255,Be Kind (with Halsey),Be Kind (with Halsey),Marshmello,2020-05-01,172761,77,0.63,0.00776,0.63,0.633,0.0,0.0541,-7.088,0.0457,93.995,4
256,ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,2020-04-17,181733,81,0.746,0.247,0.746,0.69,0.0,0.101,-7.956,0.164,89.977,4
257,Eu Feat. Você,Eu Feat. Você,Melim,2020-05-15,185124,61,0.654,0.593,0.654,0.453,0.0,0.109,-9.522,0.046,100.053,4
258,Na Raba Toma Tapão,Na Raba Toma Tapão,Niack,2020-04-05,165230,0,0.962,0.666,0.962,0.787,5.74e-05,0.176,1.509,0.0554,130.003,4
259,Tudo Aconteceu,Tudo Aconteceu,MC Du Black,2020-02-07,155124,60,0.579,0.86,0.579,0.346,2.02e-06,0.0945,-13.975,0.368,102.374,5
260,WHATS POPPIN,WHATS POPPIN,Jack Harlow,2020-01-21,139741,0,0.923,0.017,0.923,0.604,0.0,0.272,-6.671,0.245,145.062,4
261,X (with KAROL G),XV,Jonas Brothers,2020-05-15,185277,65,0.715,0.0485,0.715,0.827,3.61e-05,0.321,-5.09,0.0617,117.977,4
262,THE SCOTTS,THE SCOTTS,THE SCOTTS,2020-04-24,165977,77,0.716,0.233,0.716,0.537,0.0,0.157,-7.648,0.0514,129.979,4
263,Play Date,Cry Baby (Deluxe Edition),Melanie Martinez,2015-08-14,179867,80,0.68,0.612,0.68,0.729,0.0,0.224,-5.077,0.0475,123.97,4
264,You should be sad,You should be sad,Halsey,2020-01-10,205473,0,0.591,0.143,0.591,0.585,0.0,0.109,-6.35,0.0277,110.94,4
265,Yo Perreo Sola,YHLQMDLG,Bad Bunny,2020-02-29,172127,79,0.86,0.021,0.86,0.758,6.54e-05,0.344,-5.16,0.0695,97.014,4
266,Selfish,Selfish,Madison Beer,2020-02-14,223270,66,0.375,0.627,0.375,0.461,0.0,0.386,-6.202,0.0279,75.217,4
267,Level of Concern,Level of Concern,Twenty One Pilots,2020-04-09,220051,69,0.754,0.32,0.754,0.583,0.00015,0.144,-7.34,0.0432,122.012,4
268,Stuck with U (with Justin Bieber),Stuck with U,Ariana Grande,2020-05-08,228482,83,0.597,0.223,0.597,0.45,0.0,0.382,-6.658,0.0418,178.765,3
269,Lose Somebody,Lose Somebody,Kygo,2020-05-15,199549,69,0.58,0.344,0.58,0.586,0.0,0.0755,-6.883,0.0357,147.988,4
270,Party Girl,Party Girl,StaySolidRocky,2020-04-21,147800,72,0.728,0.749,0.728,0.431,0.0,0.0996,-9.966,0.0622,130.022,4
271,Table For 2,Table For 2,Alok,2019-09-27,176283,61,0.657,0.0625,0.657,0.614,0.0,0.397,-7.829,0.055,113.009,4
272,Don't Stop Believin',Escape,Journey,1981,250986,81,0.5,0.127,0.5,0.748,0.0,0.447,-9.072,0.0363,118.852,4
273,Not Today,Blurryface,Twenty One Pilots,2015-05-15,238040,61,0.77,0.0605,0.77,0.706,0.00182,0.0985,-4.705,0.0302,115.011,4
274,Stressed Out,Blurryface,Twenty One Pilots,2015-05-15,202333,84,0.734,0.0462,0.734,0.637,2.29e-05,0.0602,-5.677,0.141,169.977,4
275,I Like Him,Everything Sucks,Princess Nokia,2020-02-26,132453,66,0.893,0.0641,0.893,0.579,0.000121,0.215,-8.995,0.113,133.018,4
276,Ao Som do 150,Ao Som do 150,Rebecca,2018-11-08,119612,49,0.897,0.522,0.897,0.796,0.0,0.165,-3.782,0.334,155.043,4
277,Me adota (Participação especial de MC Mirella),Me adota (Participação especial de MC Mirella),Sandro e Cícero,2019-06-07,165814,45,0.733,0.223,0.733,0.735,0.0,0.185,-4.21,0.129,156.987,5
278,Toosie Slide,Toosie Slide,Drake,2020-04-03,247058,74,0.834,0.321,0.834,0.454,6.15e-06,0.114,-9.75,0.201,81.618,4
279,Tusa,Tusa,KAROL G,2019-11-07,200960,78,0.803,0.295,0.803,0.715,0.000134,0.0574,-3.28,0.298,101.085,4
280,Skechers,Skechers,DripReport,2020-01-12,106000,71,0.903,0.26,0.903,0.327,0.011,0.108,-9.727,0.0877,100.008,4
281,Te Prometo,Te Prometo,DENNIS,2019-10-24,161652,56,0.818,0.0887,0.818,0.646,0.0,0.0991,-5.325,0.273,174.041,4
282,Congratulations,Congratulations,Don Diablo,2019-11-28,201500,49,0.82,0.0858,0.82,0.8,3.49e-05,0.343,-5.281,0.138,120.083,4
283,Roots,Roots,Valerie Broussard,2019-08-16,184563,0,0.683,0.0653,0.683,0.783,1.35e-05,0.177,-4.879,0.037,122.998,4
284,Magical,Cali Vibes,FTampa,2018-09-14,212195,45,0.705,0.0401,0.705,0.716,0.0,0.106,-5.623,0.048,123.039,4
285,Back to Beginning,Back to Beginning,Breno Miranda,2019-07-05,195483,56,0.751,0.159,0.751,0.749,8.75e-06,0.0961,-6.221,0.151,124.013,4
286,Go Fuck Yourself,First Steps,Two Feet,2016-07-29,129599,76,0.765,0.571,0.765,0.327,0.0479,0.0787,-8.029,0.277,74.931,4
287,Rainha dos Faixa Preta,A Tropa One,Rodrigo Fox,2019-07-15,161619,27,0.893,0.0511,0.893,0.903,1.08e-06,0.102,-0.495,0.35,84.968,4
288,ME! (feat. Brendon Urie of Panic! At The Disco),ME!,Taylor Swift,2019-04-26,193040,0,0.614,0.0291,0.614,0.839,0.0,0.112,-4.143,0.0702,182.123,4
289,Without You Now (feat. AJ Mitchell),Without You Now (feat. AJ Mitchell),Digital Farm Animals,2019-06-28,171063,42,0.664,0.152,0.664,0.619,0.0,0.163,-5.23,0.0474,120.027,4
290,Home (feat. Bonn),Home (feat. Bonn),Martin Garrix,2019-08-16,239067,56,0.466,0.0655,0.466,0.612,4.07e-06,0.132,-4.855,0.0307,128.114,4
291,Something's Got To Give,Something's Got To Give,Labrinth,2019-09-20,229285,1,0.511,0.0393,0.511,0.747,6.63e-06,0.028,-5.904,0.124,109.022,4
292,Fiz Esse Som Pra Você - Ralk Remix,Fiz Esse Som Pra Você,Gabriel Elias,2019-02-08,172340,56,0.76,0.00256,0.76,0.619,3.52e-05,0.294,-8.38,0.0464,125.052,4
293,Lazy Day (feat. Danny Ocean),Lazy Day (feat. Danny Ocean),Fuse ODG,2019-11-28,205851,55,0.868,0.0228,0.868,0.862,1.69e-05,0.0898,-4.863,0.0812,126.976,4
294,Let It Be Me,Let It Be Me,Steve Aoki,2019-09-06,224060,0,0.661,0.0797,0.661,0.758,0.0,0.106,-5.299,0.0864,114.098,4
295,Old Town Road - Diplo Remix,Old Town Road (Diplo Remix),Lil Nas X,2019-04-29,204026,60,0.766,0.00407,0.766,0.771,3.76e-06,0.113,-9.108,0.0576,140.036,4
296,Brave,Brave,Don Diablo,2019-04-26,184026,57,0.654,0.169,0.654,0.874,1.77e-06,0.134,-3.885,0.0543,119.85,4
297,Wow.,Wow.,Post Malone,2018-12-24,149520,2,0.833,0.163,0.833,0.539,2.1e-06,0.101,-7.399,0.178,99.947,4
298,Dame Mais,Dame Mais,Tropkillaz,2018-12-13,194840,51,0.727,0.024,0.727,0.837,8.14e-05,0.338,-7.336,0.0671,100.023,4
299,Bad Liar,Origins (Deluxe),Imagine Dragons,2018-11-09,260773,79,0.383,0.0722,0.383,0.637,0.0,0.368,-6.993,0.0703,177.913,4
300,Don't Rush (feat. Headie One),Don't Rush (feat. Headie One),Young T & Bugsey,2019-11-07,207640,64,0.961,0.202,0.961,0.461,0.00402,0.162,-8.684,0.27,108.028,4
301,False Confidence,Busyhead,Noah Kahan,2019-06-14,223400,68,0.414,0.163,0.414,0.663,0.0,0.138,-7.77,0.0456,108.98,4
302,What A Man Gotta Do,What A Man Gotta Do,Jonas Brothers,2020-01-17,180644,71,0.852,0.00839,0.852,0.698,1.03e-06,0.0773,-7.206,0.0629,113.039,4
303,i'm so tired...,~how i'm feeling~,Lauv,2020-01-02,162582,0,0.599,0.176,0.599,0.733,0.0,0.242,-7.058,0.203,102.211,4
304,AQUECIMENTO DO PEDRO SAMPAIO,AQUECIMENTO DO PEDRO SAMPAIO,PEDRO SAMPAIO,2019-08-09,129600,55,0.828,0.0265,0.828,0.702,2.48e-05,0.0762,-7.996,0.271,150.077,4
305,Pode chorar,Pode chorar,POCAH,2019-08-23,143376,41,0.563,0.12,0.563,0.749,0.000196,0.0597,-4.414,0.0588,99.274,5
306,Paredão,Paredão,MC Kevinho,2019-12-13,133333,48,0.744,0.293,0.744,0.794,0.00207,0.0994,-4.409,0.0836,90.07,4
307,Freaky Friday (feat. Chris Brown),Freaky Friday (feat. Chris Brown),Lil Dicky,2018-03-15,216631,70,0.755,0.147,0.755,0.599,0.0,0.109,-5.042,0.224,133.123,4
308,Hate Me (with Juice WRLD),Hate Me (with Juice WRLD),Ellie Goulding,2019-06-26,186223,75,0.657,0.108,0.657,0.768,0.0,0.144,-4.628,0.0507,75.025,4
309,If the World Was Ending (feat. Julia Michaels),If the World Was Ending (feat. Julia Michaels),JP Saxe,2019-10-17,208687,79,0.464,0.866,0.464,0.473,0.0,0.109,-10.086,0.129,75.801,4
310,Barking,Blockbuster,Ramz,2019-05-17,204826,69,0.534,0.181,0.534,0.563,0.0,0.0525,-7.845,0.312,102.999,4
311,Boys,Cuz I Love You (Deluxe),Lizzo,2019-05-03,172630,59,0.891,0.00317,0.891,0.587,0.000154,0.0487,-4.281,0.115,120.029,4
312,Make You Mine,Make You Mine,PUBLIC,2019-08-09,232906,77,0.606,0.0128,0.606,0.799,0.0,0.15,-4.452,0.0261,103.014,4
313,Falling,Falling,Trevor Daniel,2018-10-05,159381,10,0.785,0.123,0.785,0.431,0.0,0.0887,-8.756,0.0364,127.085,4
314,Ride It,Ride It,Regard,2019-07-26,157605,81,0.88,0.177,0.88,0.751,6.43e-05,0.106,-4.258,0.0874,117.948,4
315,Seus Sinais,Sinais - Parte I,Di Ferrero,2019-07-19,208786,38,0.75,0.28,0.75,0.414,0.0,0.0998,-7.946,0.0307,104.962,4
316,Já Já Eu Vou,Já Já Eu Vou,JUPTR,2019-12-13,177485,31,0.797,0.227,0.797,0.512,0.0,0.199,-8.45,0.184,110.066,4
317,Can We Kiss Forever?,Can We Kiss Forever?,Kina,2018-08-31,187898,0,0.493,0.898,0.493,0.13,0.0223,0.0941,-18.725,0.0369,109.852,4
318,7 Dias 7 Corpos,7 Dias 7 Corpos,Dj Guuga,2019-10-11,162432,0,0.891,0.38,0.891,0.877,0.0,0.118,-1.586,0.374,79.99,4
319,Credo que delícia,Credo que delícia,MC Kevinho,2019-08-22,123287,43,0.779,0.24,0.779,0.861,0.0,0.161,-3.958,0.124,146.062,4
320,Reboladinha,Reboladinha,MC Lukkas,2019-03-08,140884,0,0.722,0.215,0.722,0.691,0.0,0.0959,-5.082,0.115,160.08,4
321,Vem Me Satisfazer,Vem Me Satisfazer,MC Ingryd,2019-08-20,188388,56,0.862,0.596,0.862,0.561,0.0,0.108,-5.703,0.335,99.864,3
322,ROXANNE,ROXANNE,Arizona Zervas,2019-10-10,163636,79,0.621,0.0522,0.621,0.601,0.0,0.46,-5.616,0.148,116.735,5
323,Wish U Were Here - Acoustic,The Acoustic Sessions,Cody Simpson,2013-11-19,216160,47,0.682,0.14,0.682,0.545,0.0,0.119,-7.981,0.0324,113.962,4
324,Can't Take My Eyes Off You,Can't Take My Eyes Off You,Joseph Vincent,2017-10-02,163559,17,0.719,0.828,0.719,0.135,0.0,0.0935,-12.074,0.0656,88.251,4
325,Girassol,Girassol,Priscilla Alcantara,2019-12-12,224725,64,0.333,0.129,0.333,0.512,0.0,0.111,-8.204,0.0528,152.489,3
